公司代碼,上市別,TSE,資料源年,總經理_姓名代碼,總經理_教育程度_代碼,總經理_經理人年資max,總經理_分數,總經理_股數增減比率,總經理_股數增減比率(合計),財務長_姓名代碼,財務長_教育程度_代碼,財務長_經理人年資max,財務長_分數,財務長_股數增減比率,財務長_股數增減比率(合計),獨董_姓名代碼,獨董_教育程度_代碼,獨董_董監事年資max,獨立董事_總分,董監經理人變化_燈號,CRISISCOR,研究發展費用率
1333,OTC,M2328,2006,P000041035,3,5.5,1,0,0,P000122670,5,3,1,0,0,P000137096,2,1.83,2,0,0,1.39
1333,OTC,M2328,2010,P000013309,4,9.5,1,0,0,,6,,0,0,0,,6,,0,0,0,6.29
1333,OTC,M2328,2013,P000041035,3,12.5,1,0.006882591,0.006882591,,6,,0,0,0,P000178157&P000132495,3,6.83,3,0,0,2.25
1336,OTC,M2328,2006,P000109298,5,19.67,0,0,0,P000109299,5,3.17,1,0,0,P000109290&P000109292,2,1.83,2,0,0,0.26
1336,OTC,M2328,2014,P000109295,4,4.75,1,0.01462613,0.01462613,P000159617,2,4.92,1,0,0,P000139118&P000131523,1,7.92,1,0,0,0
1336,OTC,M2328,2015,P000109295,4,5.75,1,0.033365727,0.033365727,P000159617,2,5.92,1,0,0,P000139118&P000131523,1,8.92,1,0,0,0
1336,OTC,M2328,2016,P000109295,4,6.75,1,0,0,P000159617,2,6.92,1,0,0,P000139118&P000131523,1,9.92,1,0,0,0
1336,OTC,M2328,2018,P000109295,4,8.75,1,inf,inf,P000154576,3,10.25,1,0,0,P000251955&P000251958&P000251963,2,1.83,2,0,0,0
1471,TSE,M2328,2006,P000090309,3,3.83,1,0,0,P000130010,3,0.67,0,0,0,P000064769&P000132373,2,3.83,2,0,0,0.37
1471,TSE,M2328,2009,P000090309,3,6.83,1,0,0,P000128978,3,3.33,1,0,0,P000132373,2,3.92,2,0,0,0.19
1471,TSE,M2328,2010,P000090309,3,7.83,1,0,0,P000128978,3,4.33,1,0,0,P000132373,2,4.92,2,0,0,0.27
1471,TSE,M2328,2014,P000090309,3,11.83,1,0,0,P000128978,2,8.33,1,0,0,,6,,0,0,0,0.07
1471,TSE,M2328,2017,P000090309,3,14.83,1,0.266354144,0.266354144,P000128978,2,11.33,1,0,0,P000190583&P000143000,2,2.83,2,0,0,2.45
